donor,lobe,stage,N_hep,E_raw,gene,k_raw_pos,frac_raw_pos,M_raw,UMIs_per_10k
19,Right,NASH w/o cirrhosis,1387,12429120,ALDOB,1215,0.8759913482335977,5369,4.319694395097963
19,Right,NASH w/o cirrhosis,1387,12429120,HAL,605,0.43619322278298484,2347,1.888307458613321
19,Right,NASH w/o cirrhosis,1387,12429120,ASS1,915,0.6596971881759193,2481,1.9961187919981462
19,Right,NASH w/o cirrhosis,1387,12429120,CPS1,1367,0.9855803893294881,20425,16.43318271929147
19,Right,NASH w/o cirrhosis,1387,12429120,ARG1,1063,0.7664023071377073,3061,2.4627648618727633
19,Right,NASH w/o cirrhosis,1387,12429120,FOS,3,0.0021629416005767843,4,0.0032182487577559794
19,Right,NASH w/o cirrhosis,1387,12429120,JUN,17,0.012256669069935111,18,0.014482119409901907
19,Right,NASH w/o cirrhosis,1387,12429120,JUNB,16,0.011535688536409516,17,0.013677557220462913
19,Right,NASH w/o cirrhosis,1387,12429120,JUND,48,0.03460706560922855,49,0.03942354728251075
19,Right,NASH w/o cirrhosis,1387,12429120,ATF3,37,0.026676279740447006,37,0.02976880100924281
19,Right,NASH w/o cirrhosis,1387,12429120,DUSP1,33,0.023792357606344627,35,0.02815967663036482
19,Right,NASH w/o cirrhosis,1387,12429120,HSPA1A,12,0.008651766402307137,13,0.010459308462706934
19,Right,NASH w/o cirrhosis,1387,12429120,HSPA1B,2,0.0014419610670511895,2,0.0016091243788779897
19,Right,NASH w/o cirrhosis,1387,12429120,ACTB,148,0.10670511896178803,184,0.14803944285677506
19,Right,NASH w/o cirrhosis,1387,12429120,GAPDH,134,0.0966113914924297,154,0.12390257717360521
19,Right,NASH w/o cirrhosis,1387,12429120,B2M,376,0.27108868060562363,556,0.44733657732808113
19,Right,NASH w/o cirrhosis,1387,12429120,ALB,1387,1.0,68552,55.154347210421975
19,Right,NASH w/o cirrhosis,1387,12429120,TTR,1129,0.8139870223503965,4702,3.783051414742154
19,Right,NASH w/o cirrhosis,1387,12429120,APOA1,1019,0.7346791636625811,3608,2.9028603794958934
19,Right,NASH w/o cirrhosis,1387,12429120,KRT7,2,0.0014419610670511895,2,0.0016091243788779897
19,Right,NASH w/o cirrhosis,1387,12429120,KRT19,2,0.0014419610670511895,2,0.0016091243788779897
19,Right,NASH w/o cirrhosis,1387,12429120,EPCAM,7,0.005046863734679163,7,0.005631935326072964
19,Right,NASH w/o cirrhosis,1387,12429120,SOX4,8,0.005767844268204758,10,0.008045621894389949
19,Right,NASH w/o cirrhosis,1387,12429120,KRT23,0,0.0,0,0.0
19,Right,NASH w/o cirrhosis,1387,12429120,NCAM1,7,0.005046863734679163,7,0.005631935326072964
19,Right,NASH w/o cirrhosis,1387,12429120,MUC1,0,0.0,0,0.0
19,Right,NASH w/o cirrhosis,1387,12429120,BCL2,42,0.03028118240807498,60,0.048273731366339695
20,Right,NASH w/o cirrhosis,2811,14822682,CYP2E1,2507,0.8918534329420135,19670,13.270203057719245
20,Right,NASH w/o cirrhosis,2811,14822682,CYP1A2,617,0.21949484169334757,1080,0.7286130809525564
20,Right,NASH w/o cirrhosis,2811,14822682,ADH4,2467,0.8776236214870153,17134,11.559311600963982
20,Right,NASH w/o cirrhosis,2811,14822682,ADH1B,2060,0.7328352899324084,8871,5.984746889935304
20,Right,NASH w/o cirrhosis,2811,14822682,AKR1D1,1229,0.4372109569548204,2396,1.6164416129280788
20,Right,NASH w/o cirrhosis,2811,14822682,SLCO1B3,1765,0.6278904304517965,15969,10.773353971973494
20,Right,NASH w/o cirrhosis,2811,14822682,GLUL,373,0.1326929918178584,822,0.5545555116138902
20,Right,NASH w/o cirrhosis,2811,14822682,CYP3A4,847,0.30131625755958735,2637,1.7790302726591585
20,Right,NASH w/o cirrhosis,2811,14822682,LGR5,178,0.06332266097474208,310,0.20913893990304858
20,Right,NASH w/o cirrhosis,2811,14822682,AXIN2,89,0.03166133048737104,97,0.06544024893740552
20,Right,NASH w/o cirrhosis,2811,14822682,PCK1,949,0.3376022767698328,1792,1.2089580009879453
20,Right,NASH w/o cirrhosis,2811,14822682,ALDOB,2137,0.76022767698328,6909,4.661099792871492
20,Right,NASH w/o cirrhosis,2811,14822682,HAL,735,0.26147278548559233,1275,0.8601682205689901
20,Right,NASH w/o cirrhosis,2811,14822682,ASS1,1218,0.43329775880469584,2062,1.3911112712260845
20,Right,NASH w/o cirrhosis,2811,14822682,CPS1,2510,0.8929206688011384,14481,9.769487060438859
20,Right,NASH w/o cirrhosis,2811,14822682,ARG1,1595,0.5674137317680541,3253,2.194609585498765
20,Right,NASH w/o cirrhosis,2811,14822682,FOS,3,0.0010672358591248667,3,0.002023925224868212
20,Right,NASH w/o cirrhosis,2811,14822682,JUN,54,0.0192102454642476,57,0.03845457927249603
20,Right,NASH w/o cirrhosis,2811,14822682,JUNB,75,0.026680896478121666,76,0.05127277236332804
20,Right,NASH w/o cirrhosis,2811,14822682,JUND,81,0.0288153681963714,85,0.05734454803793267
20,Right,NASH w/o cirrhosis,2811,14822682,ATF3,63,0.022411953041622197,68,0.045875638430346144
20,Right,NASH w/o cirrhosis,2811,14822682,DUSP1,16,0.005691924581999288,16,0.010794267865963799
20,Right,NASH w/o cirrhosis,2811,14822682,HSPA1A,30,0.010672358591248666,31,0.02091389399030486
20,Right,NASH w/o cirrhosis,2811,14822682,HSPA1B,11,0.003913198150124511,12,0.008095700899472848
20,Right,NASH w/o cirrhosis,2811,14822682,ACTB,234,0.0832443970117396,255,0.17203364411379804
20,Right,NASH w/o cirrhosis,2811,14822682,GAPDH,285,0.10138740661686232,326,0.21993320776901237
20,Right,NASH w/o cirrhosis,2811,14822682,B2M,594,0.2113127001067236,773,0.521498066274376
20,Right,NASH w/o cirrhosis,2811,14822682,ALB,2749,0.9779437922447528,31001,20.914568632046482
20,Right,NASH w/o cirrhosis,2811,14822682,TTR,1110,0.39487726787620064,2029,1.368848093752534
20,Right,NASH w/o cirrhosis,2811,14822682,APOA1,1162,0.4133760227676983,2675,1.8046666588408224
20,Right,NASH w/o cirrhosis,2811,14822682,KRT7,0,0.0,0,0.0
20,Right,NASH w/o cirrhosis,2811,14822682,KRT19,2,0.000711490572749911,2,0.0013492834832454748
20,Right,NASH w/o cirrhosis,2811,14822682,EPCAM,11,0.003913198150124511,11,0.007421059157850111
20,Right,NASH w/o cirrhosis,2811,14822682,SOX4,2,0.000711490572749911,2,0.0013492834832454748
20,Right,NASH w/o cirrhosis,2811,14822682,KRT23,0,0.0,0,0.0
20,Right,NASH w/o cirrhosis,2811,14822682,NCAM1,19,0.006759160441124155,22,0.014842118315700223
20,Right,NASH w/o cirrhosis,2811,14822682,MUC1,6,0.0021344717182497333,7,0.004722492191359161
20,Right,NASH w/o cirrhosis,2811,14822682,BCL2,84,0.029882604055496264,119,0.08028236725310575
21,Right,NASH w/o cirrhosis,2847,21021641,CYP2E1,2356,0.8275377590446084,19625,9.335617519108046
21,Right,NASH w/o cirrhosis,2847,21021641,CYP1A2,247,0.0867579908675799,342,0.16268948746674913
21,Right,NASH w/o cirrhosis,2847,21021641,ADH4,2704,0.9497716894977168,28151,13.391437899638758
21,Right,NASH w/o cirrhosis,2847,21021641,ADH1B,2796,0.982086406743941,39832,18.948092587063016
21,Right,NASH w/o cirrhosis,2847,21021641,AKR1D1,2047,0.7190024587284861,7573,3.602478036800267
21,Right,NASH w/o cirrhosis,2847,21021641,SLCO1B3,2174,0.763610818405339,21332,10.14763785567454
21,Right,NASH w/o cirrhosis,2847,21021641,GLUL,573,0.20126448893572182,1066,0.5070964726302766
21,Right,NASH w/o cirrhosis,2847,21021641,CYP3A4,1158,0.4067439409905163,6253,2.9745536992093053
21,Right,NASH w/o cirrhosis,2847,21021641,LGR5,164,0.05760449596066034,279,0.13272037135445325
21,Right,NASH w/o cirrhosis,2847,21021641,AXIN2,87,0.030558482613277135,92,0.04376442352906702
21,Right,NASH w/o cirrhosis,2847,21021641,PCK1,1972,0.6926589392342817,8218,3.9093047017594866
21,Right,NASH w/o cirrhosis,2847,21021641,ALDOB,2776,0.9750614682121531,31495,14.982179554869195
21,Right,NASH w/o cirrhosis,2847,21021641,HAL,969,0.3403582718651212,2413,1.147864717126508
21,Right,NASH w/o cirrhosis,2847,21021641,ASS1,1867,0.6557780119423955,5989,2.848968831691113
21,Right,NASH w/o cirrhosis,2847,21021641,CPS1,2757,0.9683877766069547,46191,21.9730705133819
21,Right,NASH w/o cirrhosis,2847,21021641,ARG1,2242,0.7874956094134177,7348,3.495445479256353
21,Right,NASH w/o cirrhosis,2847,21021641,FOS,7,0.0024587284861257463,8,0.003805602046005828
21,Right,NASH w/o cirrhosis,2847,21021641,JUN,104,0.0365296803652968,114,0.05422982915558305
21,Right,NASH w/o cirrhosis,2847,21021641,JUNB,67,0.023533544081489288,70,0.03329901790255099
21,Right,NASH w/o cirrhosis,2847,21021641,JUND,213,0.07481559536354057,235,0.1117895601014212
21,Right,NASH w/o cirrhosis,2847,21021641,ATF3,37,0.012996136283807516,38,0.018076609718527682
21,Right,NASH w/o cirrhosis,2847,21021641,DUSP1,122,0.04285212504390586,128,0.06088963273609325
21,Right,NASH w/o cirrhosis,2847,21021641,HSPA1A,66,0.023182297154899896,68,0.032347617391049535
21,Right,NASH w/o cirrhosis,2847,21021641,HSPA1B,6,0.002107481559536354,6,0.002854201534504371
21,Right,NASH w/o cirrhosis,2847,21021641,ACTB,504,0.17702845100105374,652,0.310156566749475
21,Right,NASH w/o cirrhosis,2847,21021641,GAPDH,779,0.2736213558131366,1106,0.5261244828603058
21,Right,NASH w/o cirrhosis,2847,21021641,B2M,1289,0.45275728837372675,2392,1.1378750117557426
21,Right,NASH w/o cirrhosis,2847,21021641,ALB,2847,1.0,156443,74.41997511041122
21,Right,NASH w/o cirrhosis,2847,21021641,TTR,2426,0.8521250439058659,12573,5.98097931555391
21,Right,NASH w/o cirrhosis,2847,21021641,APOA1,2709,0.9515279241306639,31158,14.821868568681198
21,Right,NASH w/o cirrhosis,2847,21021641,KRT7,31,0.010888654724271163,32,0.015222408184023312
21,Right,NASH w/o cirrhosis,2847,21021641,KRT19,2,0.0007024938531787847,3,0.0014271007672521856
21,Right,NASH w/o cirrhosis,2847,21021641,EPCAM,44,0.015454864769933263,45,0.021406511508782783
21,Right,NASH w/o cirrhosis,2847,21021641,SOX4,38,0.013347383210396909,56,0.026639214322040795
21,Right,NASH w/o cirrhosis,2847,21021641,KRT23,7,0.0024587284861257463,8,0.003805602046005828
21,Right,NASH w/o cirrhosis,2847,21021641,NCAM1,37,0.012996136283807516,47,0.02235791202028424
21,Right,NASH w/o cirrhosis,2847,21021641,MUC1,2,0.0007024938531787847,2,0.000951400511501457
21,Right,NASH w/o cirrhosis,2847,21021641,BCL2,266,0.09343168247277836,424,0.2016969084383089
22,Right,NASH with cirrhosis,2073,7974928,CYP2E1,1796,0.8663772310660878,12560,15.749358489506113
