axis,level,program,bin,coord_mid,mean_expr,sem,n_donors,slope
fibrosis,F0,PP,13,2.0862126457809085,0.7920563832638468,0.03906707369750726,4,-0.12222525784392946
fibrosis,F0,PP,14,4.223182751106757,0.6468740753853341,0.01618457547795412,4,-0.12222525784392946
fibrosis,F1,PC,0,-4.467476349070802,0.630107113589514,0.03178158530325711,9,0.11404092869119693
fibrosis,F1,PC,1,-1.9603769606098451,0.6987420590704237,0.03602978818553273,9,0.11404092869119693
fibrosis,F1,PC,2,-1.5156741757224914,0.7509082262289437,0.01824805901075679,9,0.11404092869119693
fibrosis,F1,PC,3,-1.1661194898716438,0.7607748239897765,0.022276726578354892,9,0.11404092869119693
fibrosis,F1,PC,4,-0.8643681640032277,0.8172151011053068,0.03275273380228661,9,0.11404092869119693
fibrosis,F1,PC,5,-0.5880345642986102,0.8360067784727732,0.029442356917036543,9,0.11404092869119693
fibrosis,F1,PC,6,-0.32701056004417123,0.8909680671704177,0.024778512216776048,9,0.11404092869119693
fibrosis,F1,PC,7,-0.06861412787854097,0.9428017068868625,0.03080646483141444,9,0.11404092869119693
fibrosis,F1,PC,8,0.19818656918959845,0.9968988250220092,0.024099805075256425,9,0.11404092869119693
fibrosis,F1,PC,9,0.4762642226924544,1.016336454143764,0.029093672124935212,9,0.11404092869119693
fibrosis,F1,PC,10,0.7823616059884713,1.0825439112830866,0.026492567212929835,9,0.11404092869119693
fibrosis,F1,PC,11,1.135681259527008,1.145158880042269,0.027037554584068632,9,0.11404092869119693
fibrosis,F1,PC,12,1.5517727774439234,1.2106503046050276,0.026914874948149984,9,0.11404092869119693
fibrosis,F1,PC,13,2.0862126457809085,1.2984754912959682,0.023219661523913176,9,0.11404092869119693
fibrosis,F1,PC,14,4.223182751106757,1.4628424299858065,0.017422027697630394,9,0.11404092869119693
fibrosis,F1,PP,0,-4.467476349070802,1.5880197097372795,0.02871967401586305,9,-0.1270835622017775
fibrosis,F1,PP,1,-1.9603769606098451,1.464557466521653,0.029113519834957552,9,-0.1270835622017775
fibrosis,F1,PP,2,-1.5156741757224914,1.3826294404668151,0.01124427479601055,9,-0.1270835622017775
fibrosis,F1,PP,3,-1.1661194898716438,1.2911993415650842,0.02898076196535924,9,-0.1270835622017775
fibrosis,F1,PP,4,-0.8643681640032277,1.2539763797144574,0.0328069646394581,9,-0.1270835622017775
fibrosis,F1,PP,5,-0.5880345642986102,1.1668987796353967,0.03446621399459511,9,-0.1270835622017775
fibrosis,F1,PP,6,-0.32701056004417123,1.15257993674838,0.02474817022459871,9,-0.1270835622017775
fibrosis,F1,PP,7,-0.06861412787854097,1.1118888075519966,0.030535462444534103,9,-0.1270835622017775
fibrosis,F1,PP,8,0.19818656918959845,1.085651686080958,0.02308747098835623,9,-0.1270835622017775
fibrosis,F1,PP,9,0.4762642226924544,1.014176856081723,0.0248261121952558,9,-0.1270835622017775
fibrosis,F1,PP,10,0.7823616059884713,0.9727862679398405,0.02415578468641376,9,-0.1270835622017775
fibrosis,F1,PP,11,1.135681259527008,0.9220734129478328,0.021114435948085267,9,-0.1270835622017775
fibrosis,F1,PP,12,1.5517727774439234,0.8583750742182862,0.024505566654749344,9,-0.1270835622017775
fibrosis,F1,PP,13,2.0862126457809085,0.7764381602249683,0.019830340786426256,9,-0.1270835622017775
fibrosis,F1,PP,14,4.223182751106757,0.6463092759322678,0.021005858851319396,9,-0.1270835622017775
fibrosis,F2,PC,0,-4.467476349070802,0.6536404875512443,0.023100644477427823,9,0.10446040652478451
fibrosis,F2,PC,1,-1.9603769606098451,0.6925928873295256,0.023543338228103602,12,0.10446040652478451
fibrosis,F2,PC,2,-1.5156741757224914,0.7369498650275531,0.027125864041904434,12,0.10446040652478451
fibrosis,F2,PC,3,-1.1661194898716438,0.7807553242263863,0.01755361046159019,12,0.10446040652478451
fibrosis,F2,PC,4,-0.8643681640032277,0.8162318244695026,0.021383663645054705,12,0.10446040652478451
fibrosis,F2,PC,5,-0.5880345642986102,0.8378583699255383,0.018272656709770192,12,0.10446040652478451
fibrosis,F2,PC,6,-0.32701056004417123,0.8808199465024805,0.019894876401999946,12,0.10446040652478451
fibrosis,F2,PC,7,-0.06861412787854097,0.920468130073698,0.020972334317116353,12,0.10446040652478451
fibrosis,F2,PC,8,0.19818656918959845,0.9737968098451696,0.018084872837720315,12,0.10446040652478451
fibrosis,F2,PC,9,0.4762642226924544,1.003797545059873,0.01854805744573266,12,0.10446040652478451
fibrosis,F2,PC,10,0.7823616059884713,1.0500475981282649,0.019969698116190725,12,0.10446040652478451
fibrosis,F2,PC,11,1.135681259527008,1.1044305454567045,0.01587833441824896,12,0.10446040652478451
fibrosis,F2,PC,12,1.5517727774439234,1.1606728842131688,0.019665558878850683,12,0.10446040652478451
fibrosis,F2,PC,13,2.0862126457809085,1.2689904069032105,0.018664958165811874,12,0.10446040652478451
fibrosis,F2,PC,14,4.223182751106757,1.4129587300447375,0.02058429976677529,12,0.10446040652478451
fibrosis,F2,PP,0,-4.467476349070802,1.638534205452847,0.03642269756699874,9,-0.13502004501027037
fibrosis,F2,PP,1,-1.9603769606098451,1.477600525836574,0.023721439404213247,12,-0.13502004501027037
fibrosis,F2,PP,2,-1.5156741757224914,1.372473643638724,0.025806796137094513,12,-0.13502004501027037
fibrosis,F2,PP,3,-1.1661194898716438,1.305821474914981,0.022761677605925266,12,-0.13502004501027037
fibrosis,F2,PP,4,-0.8643681640032277,1.2334305088336268,0.020097612024336044,12,-0.13502004501027037
fibrosis,F2,PP,5,-0.5880345642986102,1.1834151018675163,0.020496467189786222,12,-0.13502004501027037
fibrosis,F2,PP,6,-0.32701056004417123,1.1413011982273318,0.01925439719225241,12,-0.13502004501027037
fibrosis,F2,PP,7,-0.06861412787854097,1.0969670571259706,0.01959166222424025,12,-0.13502004501027037
fibrosis,F2,PP,8,0.19818656918959845,1.0668476729145577,0.016783745583469626,12,-0.13502004501027037
fibrosis,F2,PP,9,0.4762642226924544,0.9957123370087114,0.015406759714845494,12,-0.13502004501027037
fibrosis,F2,PP,10,0.7823616059884713,0.9542030606078945,0.01899391602464288,12,-0.13502004501027037
fibrosis,F2,PP,11,1.135681259527008,0.8946186773382224,0.017722925611231087,12,-0.13502004501027037
fibrosis,F2,PP,12,1.5517727774439234,0.8202650050401732,0.02130244379233279,12,-0.13502004501027037
fibrosis,F2,PP,13,2.0862126457809085,0.7593635064824386,0.021241511016185145,12,-0.13502004501027037
fibrosis,F2,PP,14,4.223182751106757,0.6361525935228697,0.021331700736197494,12,-0.13502004501027037
fibrosis,F3,PC,0,-4.467476349070802,0.6354944975067377,0.025963255616934754,12,0.10805612091483048
fibrosis,F3,PC,1,-1.9603769606098451,0.6820230470334748,0.030887656311026662,12,0.10805612091483048
fibrosis,F3,PC,2,-1.5156741757224914,0.7280813677075484,0.024615861760410824,12,0.10805612091483048
fibrosis,F3,PC,3,-1.1661194898716438,0.7563906760973856,0.028304015832085583,12,0.10805612091483048
fibrosis,F3,PC,4,-0.8643681640032277,0.797176813543096,0.025972101510419208,12,0.10805612091483048
fibrosis,F3,PC,5,-0.5880345642986102,0.8294358590110235,0.026411777712799567,12,0.10805612091483048
fibrosis,F3,PC,6,-0.32701056004417123,0.8706836957031888,0.03160077966122319,12,0.10805612091483048
fibrosis,F3,PC,7,-0.06861412787854097,0.9097088151865561,0.030667578166202712,12,0.10805612091483048
fibrosis,F3,PC,8,0.19818656918959845,0.9559536952826294,0.02644033634513752,12,0.10805612091483048
fibrosis,F3,PC,9,0.4762642226924544,0.9950414630327379,0.028946656467995418,12,0.10805612091483048
fibrosis,F3,PC,10,0.7823616059884713,1.0515233680026708,0.027455186241499077,12,0.10805612091483048
fibrosis,F3,PC,11,1.135681259527008,1.1106545895788982,0.024559157504418738,12,0.10805612091483048
fibrosis,F3,PC,12,1.5517727774439234,1.1659672332069995,0.025612114657902196,12,0.10805612091483048
fibrosis,F3,PC,13,2.0862126457809085,1.2691766781136151,0.021505011414254906,12,0.10805612091483048
fibrosis,F3,PC,14,4.223182751106757,1.4188685002743482,0.024378153294488315,12,0.10805612091483048
fibrosis,F3,PP,0,-4.467476349070802,1.6202217452001972,0.041488781699248856,12,-0.1316925259162545
fibrosis,F3,PP,1,-1.9603769606098451,1.4567134755016669,0.030762712785096402,12,-0.1316925259162545
fibrosis,F3,PP,2,-1.5156741757224914,1.365597224402241,0.021895199546469134,12,-0.1316925259162545
fibrosis,F3,PP,3,-1.1661194898716438,1.2882299490165885,0.027890463378690764,12,-0.1316925259162545
fibrosis,F3,PP,4,-0.8643681640032277,1.2230140398943092,0.022948005107161447,12,-0.1316925259162545
fibrosis,F3,PP,5,-0.5880345642986102,1.175310085230366,0.024298514359989108,12,-0.1316925259162545
fibrosis,F3,PP,6,-0.32701056004417123,1.1319886865410278,0.030094887564157242,12,-0.1316925259162545
fibrosis,F3,PP,7,-0.06861412787854097,1.0829732049360172,0.02989982430183055,12,-0.1316925259162545
