"","logFC.F1...F0","logFC.F2...F0","logFC.F3...F0","logFC.F4...F0","logCPM","F","PValue","FDR"
"CYTOR",2.44078505047851,3.60502377673844,4.3657516222849,4.59482779290925,2.16117664147314,6.00841712638264,0.000627128050759039,0.0822906570720723
"AC092153.1",-0.330794606332483,2.03446575527723,0.967682593118287,1.73342086478145,0.207130394701482,5.76598973544516,0.000636075272345227,0.0822906570720723
"CCDC187",3.50471890720956,5.00221642038463,4.77840458723988,6.86820894003376,-0.525612025569986,5.70607799524669,0.000636323416552299,0.0822906570720723
"FXYD2",2.07840126951298,2.77212389412093,2.24678063005179,4.90137242169899,2.00276575114256,5.95440221275382,0.000637392511514425,0.0822906570720723
"SLC7A1",1.65582147145018,2.7099403428781,2.95981106675286,3.92433862215922,1.22262249004833,5.9037197366398,0.000638063795202539,0.0822906570720723
"NREP-AS1",2.77292731796555,6.04322486443458,7.06356921505754,3.61731826171716,5.60247066746579,6.12744211247364,0.000655084093927156,0.082833729419438
"AC073349.4",7.03494788381802,8.01947648826352,7.5385421449063,5.03398244494985,1.42897636945484,5.89526230069817,0.000659694778073026,0.082833729419438
"TIMM29",-0.438953271753927,-0.633046483179625,-0.725858903708465,0.0103162885017041,3.5634013226906,6.13024847132006,0.000659834183022752,0.082833729419438
"IL32",1.37756792760661,2.68395935350533,2.50281153310772,3.28115356465156,5.14474886433783,6.14642964583492,0.000661640207832615,0.082833729419438
"AL357793.2",7.57371284493499,9.5105013785708,8.32137524916026,5.26878843033176,2.46851489713365,5.9977967410868,0.000664731837299285,0.082833729419438
"S100A14",-0.779871051718229,0.325926825507351,0.147017111827187,1.56165966630222,0.658510273085721,5.85938265175414,0.000665969952884204,0.082833729419438
"APH1B",0.215538845966026,1.1848782061323,0.526784882543148,1.22618973673633,1.32984985057461,5.91087337747985,0.000669857007007158,0.082833729419438
"HBEGF",4.77260094523182,5.18623382257657,4.81913932816306,6.36222176718814,-0.441831495669965,5.71522671226703,0.000676054046495473,0.0831111588621511
"LINC01979",5.0958107153519,5.99767535678855,7.2069838768503,7.57925270334432,0.636411805116849,5.86446078398378,0.000692977269238603,0.0846963264763599
"AC104971.2",5.26445713835131,7.05010687322066,6.50919622345049,3.01043788038299,0.41804334701813,5.81868477282335,0.0007040682995687,0.0855544727949897
"EMILIN1",-1.68741936576951,-0.735092564033619,-1.34399011672676,0.329175570126926,0.144045551803601,5.72241618200106,0.000712555344382013,0.0860386406296029
"ABCC4",-0.797830746845585,0.273284187830283,0.12107122425425,1.11532660752988,5.14624015314834,6.07537282589734,0.000716238326999358,0.0860386406296029
"AC012050.1",1.74314514467607,5.79711842193072,1.21693876966156,0,-1.00168036474378,6.48762456657454,0.000734274699201793,0.0876433150571439
"STARD8",-0.465724365481241,-0.727970211145502,-1.0247233824394,-0.291190813301452,3.39725447438021,6.02227214155181,0.000737934866573803,0.0876433150571439
"ST18",-1.53381351055952,-2.13889112463904,-1.96130944387653,-2.66937012669154,3.85803757297379,6.03136823843146,0.00074362053505644,0.0878224207188567
"AC105094.2",0.159876724460515,-0.803374913495576,-0.123781613610262,-0.792296507960239,2.59166253475142,5.95062892576762,0.000754423168719265,0.0883234456689744
"SLC12A1",-0.392753710927618,1.15904139289699,-0.186874581371288,-0.314148063435093,1.83231600039197,5.86159732988503,0.000756265827248378,0.0883234456689744
