gene,loading
GRB14,-0.0078218262642622
ZNF385B,-0.007820955477654934
VPS41,-0.00781751424074173
DMXL1,-0.007816469296813011
SYT12,-0.007796014659106731
CLCN5,-0.0077918171882629395
STX2,-0.007789203431457281
SRP54,-0.007783629931509495
PDIA4,-0.007774461060762405
PLEKHA4,-0.00777085218578577
MCRIP2,-0.0077533479779958725
EFCAB13,-0.00775156868621707
RASSF7,-0.007751259952783585
LRP1B,-0.007747104857116938
HNRNPC,-0.007736715022474527
KMT2C,-0.007731180172413588
KLHL23,-0.0077285305596888065
CALR,-0.007720063906162977
PLCG2,-0.007719059474766254
RNF152,-0.007718240842223167
ZC3H14,-0.007716781459748745
ARFIP2,-0.007712908089160919
CYP4A22,-0.007703564595431089
NIPAL1,-0.007696197833865881
OSTC,-0.0076948609203100204
FAM200B,-0.007694554049521685
TEAD3,-0.00769201060757041
ABCA1,-0.007685979828238487
PBRM1,-0.00768185593187809
IPO9,-0.007681311573833227
TMEM63A,-0.00765680056065321
U2AF1L4,-0.0076537542045116425
TTC17,-0.007649507839232683
DPH7,-0.00761603657156229
WRN,-0.0076108667999506
TYMP,-0.0076081654988229275
GALNT18,-0.007604823913425207
BLOC1S6,-0.007598728872835636
TRIM29,-0.007593333255499601
SPOUT1,-0.0075928820297122
MCL1,-0.007591181434690952
CEP95,-0.007590828463435173
KLHL3,-0.007590525317937136
ZNF608,-0.0075754811987280846
CASP6,-0.007574539165943861
VPS13D,-0.007554511073976755
SPRY4,-0.007541372906416655
RBM26,-0.007496485020965338
RBM22,-0.007482415065169334
ASB13,-0.007468607276678085
UGCG,-0.007467051036655903
RBM25,-0.007460799999535084
ZNF69,-0.0074501666240394115
NPC1,-0.007446730509400368
GOLGA8M,-0.007445155642926693
