set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,ZER1,True,True,True,True
full,pericentral,RAB11B,True,True,True,True
full,pericentral,VWA8,True,True,True,True
full,pericentral,PREB,True,True,True,True
full,pericentral,PPP2R2D,True,True,True,True
full,pericentral,MPRIP,True,True,True,True
full,pericentral,EPB41L5,True,True,True,True
full,pericentral,KLHL21,True,True,True,True
full,pericentral,IKBKB,True,True,True,True
full,pericentral,CLIP1,True,True,True,True
full,pericentral,CIC,True,True,True,True
full,pericentral,IRF3,True,True,True,True
full,pericentral,ARID4A,True,True,True,True
full,pericentral,COBLL1,True,True,True,True
full,pericentral,NIT1,True,True,True,True
full,pericentral,BCKDHB,True,True,True,True
full,pericentral,SPG7,True,True,True,True
full,pericentral,AAAS,True,True,True,True
full,pericentral,DST,True,True,True,True
full,pericentral,ETS2,True,True,True,True
full,pericentral,MYLK,True,True,True,True
full,pericentral,WDR27,True,True,True,True
full,pericentral,TIA1,True,True,True,True
full,pericentral,PAH,True,True,True,True
full,pericentral,CASC3,True,True,True,True
full,pericentral,AKR1C4,True,True,True,True
full,pericentral,SOX5,True,True,True,True
full,pericentral,TDRP,True,True,True,True
full,pericentral,RAPH1,True,True,True,True
full,pericentral,DCAF5,True,True,True,True
full,pericentral,NFKBIA,True,True,True,True
full,pericentral,CLK1,True,True,True,True
full,pericentral,TRIM41,True,True,True,True
full,pericentral,ACAD11,True,True,True,True
full,pericentral,CPNE1,True,True,True,True
full,pericentral,NECAB2,True,True,True,True
full,pericentral,IKBKG,True,True,True,True
full,pericentral,KLC4,True,True,True,True
full,pericentral,SETD1B,True,True,True,True
full,pericentral,SEC31A,True,True,True,True
full,pericentral,NRDC,True,True,True,True
full,pericentral,NICN1,True,True,True,True
full,pericentral,NKTR,True,True,True,True
full,pericentral,TMEM131L,True,True,True,True
full,pericentral,HECTD3,True,True,True,True
full,pericentral,TYK2,True,True,True,True
full,pericentral,INVS,True,True,True,True
full,pericentral,DYNC1LI2,True,True,True,True
full,pericentral,TNRC18,True,True,True,True
full,pericentral,USP34,True,True,True,True
full,pericentral,FAM20C,True,True,True,True
full,pericentral,SPTBN2,True,True,True,True
full,pericentral,PLXNB1,True,True,True,True
full,pericentral,MTA1,True,True,True,True
full,pericentral,STK3,True,True,True,True
full,pericentral,GRIPAP1,True,True,True,True
full,pericentral,RBM25,True,True,True,True
full,pericentral,BNIP2,True,True,True,True
full,pericentral,PECR,True,True,True,True
full,pericentral,PTPN18,True,True,True,True
