cell_type,source,donor,program,nCells,dm_mean,det2
Lymphocytes,biopsy,3,HIF,10,0.4643,0.2
Lymphocytes,biopsy,48,IEG,56,0.1447,0.0893
Lymphocytes,biopsy,48,HSP,56,0.0461,0.0
Lymphocytes,biopsy,48,HIF,56,0.5461,0.2857
Lymphocytes,biopsy,49,IEG,148,0.125,0.0338
Lymphocytes,biopsy,49,HSP,148,0.0353,0.0
Lymphocytes,biopsy,49,HIF,148,0.6875,0.2365
Lymphocytes,biopsy,50,IEG,256,0.1291,0.0312
Lymphocytes,biopsy,50,HSP,256,0.0343,0.0078
Lymphocytes,biopsy,50,HIF,256,0.4904,0.2227
Lymphocytes,biopsy,51,IEG,319,0.1812,0.0502
Lymphocytes,biopsy,51,HSP,319,0.0149,0.0031
Lymphocytes,biopsy,51,HIF,319,0.57,0.2351
Lymphocytes,biopsy,52,IEG,102,0.1179,0.0098
Lymphocytes,biopsy,52,HSP,102,0.0,0.0
Lymphocytes,biopsy,52,HIF,102,0.5142,0.1863
Lymphocytes,biopsy,53,IEG,55,0.0603,0.0
