signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
paper2_full,CYP4F2,other,-0.2874671309628038,1.0691648848249689e-05,-0.159595905252216,0.7530170503253742,-0.2230832950791096,0.5636840172868848
paper2_full,SFXN1,other,-0.2865202435887108,1.5565163533061564e-07,-0.1389537265346985,0.7997711682720102,-0.1051854807146045,0.8858534355895202
paper2_full,UROC1,other,-0.2856234750170274,3.236818719236967e-07,-0.1018255124656066,0.8990700117415515,-0.2402267850298324,0.5214050833134142
paper2_full,OAZ1,other,-0.2841333356239606,2.277579509399354e-05,-0.1731033711915312,0.7129533112676604,0.1553083962484976,0.7500574242505559
paper2_full,CRLS1,other,-0.2832956356408311,0.0001023854292561,-0.1725492187427388,0.7152534434108355,-0.1625725869055836,0.7295122077308326
paper2_full,DIO1,other,-0.2832944849540411,8.658644508030815e-08,0.0011083048975848,1.0,0.0164897127915851,1.0
paper2_full,ARL6IP4,other,-0.2820278089355947,1.2058789212001946e-07,-0.3299977832558842,0.3261014859985222,0.1317724185195391,0.8138074280233395
paper2_full,PLEKHH3,other,-0.2816010280566158,4.961124060509841e-08,-0.3157976267555785,0.3556700030342539,-0.2355050611027266,0.5348252641365087
paper2_full,EDF1,other,-0.2811825911321038,1.993874789744418e-06,0.0595713882451848,1.0,0.3160649354898098,0.3370024857811874
paper2_full,SYAP1,other,-0.2802025895492762,1.169678336752238e-05,0.0829843292066644,0.950774049909214,-0.2503240100431819,0.4972584129421073
paper2_full,POLD4,other,-0.2796709722522901,1.2786066047113422e-05,-0.0342189137129317,1.0,0.240953204095541,0.5187983771995275
paper2_full,SMO,other,-0.2795457566079587,2.6370095664885496e-07,-0.3054765373968198,0.379007100109917,-0.1676575203655437,0.7156816101596278
paper2_full,AMDHD2,other,-0.2787900692105902,9.95076848980705e-07,-0.2659931754203601,0.4703079719434444,0.0377750356743506,1.0
paper2_full,AKR1D1,cyp_xenobiotic,-0.2787822584881367,1.8349890170492395e-05,-0.2865660850817786,0.4181295010187572,-0.3165007869292349,0.3359074664041167
paper2_full,LECT2,other,-0.2784795929930667,3.813506509338988e-06,-0.2136257690094767,0.5988645246842346,-0.1561800991273479,0.7481378042255453
paper2_full,GPLD1,other,-0.2766870321900064,1.636683560397339e-07,0.0985698668289511,0.9085217404944264,-0.1855274293819752,0.6634037086600579
paper2_full,PDZK1,other,-0.2728270707875561,1.263551299979954e-06,-0.1644447391791497,0.739795602519004,-0.0533191594230108,1.0
paper2_full,SEC14L2,other,-0.2697973891819045,2.6085784881674247e-06,-0.1625052056083762,0.7449743674907934,-0.1051128388080337,0.8861055928115195
paper2_full,LHPP,other,-0.2687435274548767,1.5089282762681217e-06,-0.3463452804952605,0.2886058863391333,-0.1432498397577349,0.7864107740552723
paper2_full,MMAB,other,-0.2680054141830283,4.5322479254704283e-07,-0.0888721989750838,0.9350334575628146,-0.0018160476642714,1.0
paper2_full,CYP3A43,other,-0.2669409242943762,0.0001921025973374,0.1314033994199018,0.8190141697782684,0.2997931484179372,0.3735251506108653
paper2_full,HPR,other,-0.2660722603758065,9.763209342675726e-07,-0.4536430483926922,0.0968174152729882,-0.590578700421088,0.0163118122417233
paper2_full,BMP1,other,-0.2659267856701114,5.772593559878642e-07,-0.2758293813864255,0.4462117148788774,-0.2320182495873253,0.5427306786206648
paper2_full,STARD10,other,-0.2637512205124603,1.639240121172598e-07,-0.1976938861066947,0.6415706734288638,0.0246982482340922,1.0
paper2_full,SLC22A18,other,-0.2636085353504986,0.0001408157993872,-0.0856858223945274,0.9432970429336835,0.0679201826437536,0.9792848173208698
paper2_full,MME,other,-0.2635597462306021,6.6915849319564375e-06,-0.4508030170926311,0.099563072405269,-0.4673780268769101,0.0918721532794836
paper2_full,ALAD,other,-0.2619906697237403,2.606696077034228e-06,-0.2887826948769482,0.413682811080712,-0.2121870090934806,0.5928577154957966
paper2_full,NINL,other,-0.260994174963589,0.0002270770557491,-0.0327642635348516,1.0,-0.1383101901109165,0.7984354416525975
paper2_full,NAGS,urea_nitrogen,-0.2602383015966383,8.409313132127683e-06,-0.3940716601475074,0.1923790554077875,-0.2193785578439957,0.5741932535016289
paper2_full,CD46,other,-0.2588375787033247,7.925366052061144e-07,0.2039973702117084,0.6246260719330234,0.3263074443163009,0.314865344756535
paper2_full,SELENOF,other,-0.2571040864888185,9.962852078629636e-07,0.0276383533835217,1.0,-0.2068841499138079,0.6042371331182805
paper2_full,CDHR5,other,-0.2561643589436412,2.6499238437404728e-08,-0.264469256186181,0.4745494892264137,-0.246110779462072,0.5073729601895017
paper2_full,CACNA1H,other,-0.256026890228461,8.605844050718705e-06,-0.5107900196744103,0.042461829765883,-0.5364604800257976,0.0371478660789936
paper2_full,RHOBTB3,other,-0.2550474256328018,4.155548389246015e-05,-0.066567562911189,0.991583970444864,-0.0840466859024844,0.9383581919128534
paper2_full,CYP4V2,other,-0.2542419448797927,0.0001729877918442,-0.2251937013780184,0.5652779349607971,-0.0836108344630593,0.9390716086943376
paper2_full,SLC22A3,other,-0.2537228572834091,1.2526245481544732e-06,0.1109690278706814,0.8745105237914695,0.1207308487207685,0.8447163027326916
paper2_full,TUT1,other,-0.2520832564617284,6.245099593577005e-05,-0.2916919952331084,0.4069273550622726,-0.2636901208522201,0.4608640901913103
paper2_full,PECR,other,-0.2520832564617284,3.2976607155238695e-08,-0.2234619749755421,0.5701102334374335,-0.1354045138480821,0.8062369052939327
paper2_full,LTBR,other,-0.2518496670433557,1.5774481415981334e-05,-0.2024734509775293,0.6300692918899781,0.092545788971275,0.9185963771687377
paper2_full,JUND,other,-0.2508823578845148,5.6028522200316686e-05,0.3151742052506871,0.3568912222150017,0.6589331059165556,0.0051789878796682
paper2_full,LEAP2,other,-0.2502709247674579,8.16214839916003e-06,0.2758986504425246,0.4461437100974016,0.3164281450226641,0.3359074664041167
paper2_full,CEBPD,other,-0.2483809740188065,2.0363030119071218e-08,0.154262187932589,0.7659710632076123,0.1921378428799234,0.6455982884135671
paper2_full,SLC29A1,other,-0.2477256055879492,2.2954860692298784e-06,-0.151629963800825,0.7738367227374681,-0.0822306382382129,0.9422776346959788
paper2_full,CYB5B,other,-0.2469539550265664,1.8349890170492395e-05,-0.2145262667387643,0.5970134093923762,-0.0154000841930222,1.0
paper2_full,CALD1,other,-0.2467808917333485,9.176582341208546e-10,0.1179652025366857,0.854778523482813,0.1183336658039301,0.8508765438885629
paper2_full,PPP1R3B,other,-0.2464627907629537,2.399266378936478e-05,0.1961699668725156,0.6474976801248149,0.2174172263665826,0.5794612096423407
paper2_full,FMO3,cyp_xenobiotic,-0.2459873781229555,1.0848117470337396e-05,-0.1855025322332615,0.6766608046596185,-0.2046322508101113,0.6095032121994316
paper2_full,IGFBP1,other,-0.245841327779212,4.624333970903774e-09,0.3331818936461543,0.319652604566897,0.2721506396637159,0.4382930410991301
paper2_full,SLC39A5,other,-0.2453667861827909,3.216031266434047e-07,-0.1690164968816871,0.7252513457447516,-0.1298837289486968,0.8183878485137032
paper2_full,DUSP1,other,-0.244705052764165,0.013617839421995,0.0994703645582388,0.904954892679392,0.1650641607455897,0.7226829807591042
paper2_full,CDO1,other,-0.2445853813380036,6.927337189204238e-06,-0.188827446926016,0.6672348813412875,-0.0860080173798976,0.9325183383661496
paper2_full,IDH1,other,-0.2441941478293993,0.0001626834138026,-0.3360934601926008,0.3128017257993973,-0.1922104847864943,0.6453897628701043
paper2_full,STAT6,other,-0.2441122189299503,1.0434673588883468e-06,-0.0183562998662488,1.0,0.1604659716150286,0.7356763718487032
paper2_full,IP6K2,other,-0.2413914288664015,4.439377080808077e-07,-0.0890107370872819,0.9350334575628146,0.0085717449753614,1.0
paper2_full,LTBP3,other,-0.2413112938581533,0.0014663839230252,-0.2488144495077951,0.511749841539589,-0.0892042612690155,0.925433858683748
paper2_full,ACY1,other,-0.240986033058843,3.291102459790146e-08,-0.2949476408697639,0.3994131895248613,-0.1348960205020861,0.8073670406167212
paper2_full,C11orf71,other,-0.2398633811833503,1.142063494437213e-05,-0.0634582829780996,0.9988250298221576,0.0392264088724225,1.0
paper2_full,SEC31B,other,-0.2394372086394855,2.8228568671900807e-05,-0.2012958770238454,0.6326431124424068,-0.0119132726776209,1.0
paper2_full,CEBPB,other,-0.2371142021478073,4.906591548684471e-07,0.2277566564536833,0.5577625248507746,0.3625557556951599,0.2469997668091693
paper2_full,AMACR,cyp_xenobiotic,-0.2368811497166033,7.046019973930172e-07,-0.2866353541378776,0.4181295010187572,-0.2993572969785121,0.3747918371663227
paper2_full,GPAM,lipid_metabolism,-0.2368686200160009,2.057311246651628e-07,-0.2094696256435335,0.6101134477112603,-0.1905397209353645,0.6512892658051351
paper2_full,ASPSCR1,other,-0.2360232094478854,7.195986302430295e-07,-0.1852947250649644,0.6774546663902973,-0.1066383188460217,0.8814040092738062
paper2_full,CHID1,other,-0.2357230473894991,0.0002321460232934,-0.300419896301589,0.3884285425746678,-0.2106615290554926,0.595411283911193
paper2_full,XAB2,other,-0.235413026797452,0.0001239763447742,-0.4271129999067554,0.136292735808251,-0.233689013438455,0.5375987297293822
paper2_full,FPGS,other,-0.2344501320915692,2.0661830305572595e-07,-0.2242239345926316,0.5682676950283985,-0.0064651296848064,1.0
paper2_full,HOMER2,other,-0.2333674636762547,4.029577950815754e-06,-0.3136502860165079,0.3612057898454593,-0.3040063789990471,0.3632906725020375
paper2_full,ARHGEF40,other,-0.2322603751301744,3.0352383930604756e-05,-0.3852052209668287,0.2065832139636118,-0.3458481171838621,0.2786526111429898
paper2_full,MOGAT2,other,-0.2303823657745047,5.261171543011034e-06,-0.3096326807627629,0.369431200983851,-0.4118069683502026,0.1671762768199655
paper2_full,HSDL2,other,-0.2295942338377143,2.3588992355431076e-05,-0.1763590168281867,0.7039377123387677,-0.0730051161037138,0.9666102070569438
paper2_full,ADH6,cyp_xenobiotic,-0.2292674387893505,4.325327901317164e-07,-0.4641026758636491,0.0838914165250865,-0.4692667164477525,0.0914832803865322
paper2_full,CRELD2,other,-0.2285761061659108,4.097222506789407e-05,-0.0789667239529194,0.9615310537049208,-0.2403720688429741,0.5207678428512996
paper2_full,THRSP,other,-0.2280691902786837,9.505352451834646e-06,-0.2150804191875568,0.5950778715695583,-0.0378840021234113,1.0
paper2_full,RNF165,other,-0.2276449704154322,1.1715572207616236e-05,-0.0561079354402322,1.0,0.1735415147977834,0.6983563967438319
paper2_full,CNNM3,other,-0.2273890065316982,0.0019032626394204,-0.3637318135761226,0.2502341197445356,-0.1352592300349404,0.8066717684996528
paper2_full,PEX11A,other,-0.2266945031268815,1.316140947354e-07,-0.190143558991898,0.6633242806180684,-0.0950882557012551,0.9119940377851152
paper2_full,LONP2,other,-0.2260852667755146,3.009535019279912e-06,0.1560631833911644,0.761263242333684,0.135477155754653,0.8059688787079529
paper2_full,FBXO9,other,-0.2245519243238773,0.0002741246584825,-0.3716284859714146,0.2351280149822056,-0.2307833371756207,0.5460996368189245
paper2_full,C5,other,-0.2242673211244808,6.514417562611195e-06,-0.1413088744420663,0.7948853959986444,-0.2554815854097129,0.4842362975729862
paper2_full,AKR1C4,other,-0.2237867176085186,4.155548389246015e-05,-0.4668734381076112,0.0799409958248138,-0.4511062398050376,0.1112001477574673
paper2_full,MAP3K13,other,-0.2236820051106275,2.266960520531803e-05,0.0176636093052582,1.0,-0.0163444289784433,1.0
paper2_full,HSD11B1,other,-0.2230279547391841,7.491088351200988e-05,0.1283555609515435,0.8274753541670297,-0.0358124599394337,1.0
paper2_full,TTPA,other,-0.2226477678237638,9.158967239696582e-05,-0.2774225696767037,0.4410096939443665,-0.2745864068378489,0.4328572069284726
paper2_full,ASGR1,other,-0.2212816724666603,1.169678336752238e-05,0.0220275598394985,1.0,0.1510225237608169,0.7621061873385849
paper2_full,SLC25A1,other,-0.2207275017085901,5.462037834966704e-05,-0.139646417095689,0.7983981271401717,0.0184510442689983,1.0
paper2_full,EFHD1,other,-0.2192894500708845,5.8215863720191596e-09,-0.2654390229715677,0.4716370543666294,-0.3180989088737939,0.3322209022842123
paper2_full,GRAMD4,other,-0.2188974494377534,5.7117704766250576e-05,-0.293839335972179,0.4030765517186986,-0.0403889000533978,1.0
paper2_full,VEGFB,other,-0.218416645901232,5.288428754211517e-06,-0.1251153483170828,0.8355802469787418,-0.2975804588089505,0.3785810100430777
