donor,stage,gene,nCells,raw_mean,det1,det2,dm_mean,dm_det1
3,NASH w/o cirrhosis,GLUL,1441,0.5121,0.229,0.0791,0.0644,0.0147
3,NASH w/o cirrhosis,CYP3A4,1441,1.9153,0.3553,0.1943,0.2435,0.0863
3,NASH w/o cirrhosis,CYP2E1,1441,11.6565,0.9209,0.8452,1.6393,0.6239
3,NASH w/o cirrhosis,CYP1A2,1441,1.4157,0.4941,0.2887,0.1977,0.0561
3,NASH w/o cirrhosis,ADH4,1441,15.8112,0.9799,0.9389,2.1661,0.7993
3,NASH w/o cirrhosis,AKR1D1,1441,3.3026,0.7821,0.5864,0.4416,0.1684
3,NASH w/o cirrhosis,SLCO1B3,1441,10.4518,0.7634,0.5725,1.317,0.36
3,NASH w/o cirrhosis,ASS1,1441,3.152,0.8105,0.5822,0.464,0.1719
3,NASH w/o cirrhosis,CPS1,1441,15.1797,0.9875,0.9604,2.1181,0.84
3,NASH w/o cirrhosis,PCK1,1441,0.9417,0.3525,0.1839,0.1312,0.0379
3,NASH w/o cirrhosis,ALDOB,1441,4.5219,0.889,0.7287,0.6311,0.2793
3,NASH w/o cirrhosis,HAL,1441,1.4053,0.4677,0.2804,0.2137,0.0744
3,NASH w/o cirrhosis,ARG1,1441,3.0444,0.8182,0.626,0.407,0.1411
3,NASH w/o cirrhosis,ALB,1441,61.1305,1.0,1.0,9.003,0.9986
3,NASH w/o cirrhosis,ACTB,1441,0.304,0.2346,0.0569,0.0411,0.0035
3,NASH w/o cirrhosis,GAPDH,1441,0.1631,0.1374,0.0243,0.0256,0.0014
3,NASH w/o cirrhosis,stress_mod,1441,0.3331,0.2588,0.0507,0.0433,0.0021
48,NASH w/o cirrhosis,FOS,803,0.0162,0.0162,0.0,0.0065,0.0014
48,NASH w/o cirrhosis,JUN,803,0.0274,0.0274,0.0,0.013,0.0041
48,NASH w/o cirrhosis,JUNB,803,0.0137,0.0125,0.0012,0.0038,0.0014
48,NASH w/o cirrhosis,JUND,803,0.0486,0.0461,0.0025,0.0198,0.0068
48,NASH w/o cirrhosis,ATF3,803,0.0772,0.066,0.0087,0.0236,0.0055
48,NASH w/o cirrhosis,DUSP1,803,0.0187,0.0174,0.0012,0.0092,0.0027
48,NASH w/o cirrhosis,HSPA1A,803,0.005,0.005,0.0,0.001,0.0
48,NASH w/o cirrhosis,HSPA1B,803,0.0125,0.0125,0.0,0.0051,0.0027
48,NASH w/o cirrhosis,GLUL,803,0.5579,0.2702,0.0909,0.1799,0.067
48,NASH w/o cirrhosis,CYP3A4,803,1.2553,0.457,0.2453,0.4025,0.1778
48,NASH w/o cirrhosis,CYP2E1,803,11.5504,0.9788,0.924,3.8499,0.8714
48,NASH w/o cirrhosis,CYP1A2,803,2.2403,0.6575,0.4234,0.7391,0.3311
48,NASH w/o cirrhosis,ADH4,803,5.9141,0.9103,0.7621,1.7076,0.7127
48,NASH w/o cirrhosis,AKR1D1,803,0.9751,0.467,0.208,0.2863,0.0985
48,NASH w/o cirrhosis,SLCO1B3,803,7.1955,0.7709,0.594,2.1447,0.5472
48,NASH w/o cirrhosis,ASS1,803,0.5318,0.3313,0.1096,0.1686,0.0534
48,NASH w/o cirrhosis,CPS1,803,8.5915,0.9577,0.8618,2.5752,0.8646
48,NASH w/o cirrhosis,PCK1,803,0.4271,0.2354,0.0822,0.1402,0.0506
48,NASH w/o cirrhosis,ALDOB,803,1.4072,0.5841,0.3213,0.4323,0.1778
48,NASH w/o cirrhosis,HAL,803,0.4695,0.2017,0.0872,0.1477,0.0465
48,NASH w/o cirrhosis,ARG1,803,0.7472,0.4421,0.1768,0.2397,0.0876
48,NASH w/o cirrhosis,ALB,803,15.3387,0.9888,0.9639,4.8211,0.9658
48,NASH w/o cirrhosis,ACTB,803,0.1544,0.137,0.0149,0.0554,0.015
48,NASH w/o cirrhosis,GAPDH,803,0.0573,0.056,0.0012,0.0198,0.0055
48,NASH w/o cirrhosis,stress_mod,803,0.2192,0.1806,0.0286,0.08,0.0246
49,NASH w/o cirrhosis,FOS,1775,0.0017,0.0017,0.0,0.0003,0.0
49,NASH w/o cirrhosis,JUN,1775,0.0361,0.0327,0.0023,0.0056,0.0006
49,NASH w/o cirrhosis,JUNB,1775,0.0169,0.0158,0.0011,0.0026,0.0006
49,NASH w/o cirrhosis,JUND,1775,0.1042,0.0941,0.0096,0.0145,0.0012
49,NASH w/o cirrhosis,ATF3,1775,0.0406,0.0377,0.0028,0.0054,0.0012
49,NASH w/o cirrhosis,DUSP1,1775,0.0518,0.0445,0.0051,0.0067,0.0
49,NASH w/o cirrhosis,HSPA1A,1775,0.0214,0.0214,0.0,0.0041,0.0
49,NASH w/o cirrhosis,HSPA1B,1775,0.0051,0.0051,0.0,0.0015,0.0
49,NASH w/o cirrhosis,GLUL,1775,0.4777,0.2011,0.0693,0.0721,0.0187
49,NASH w/o cirrhosis,CYP3A4,1775,4.7431,0.6265,0.4468,0.6697,0.2548
49,NASH w/o cirrhosis,CYP2E1,1775,12.8958,0.9211,0.8282,2.0892,0.6421
49,NASH w/o cirrhosis,CYP1A2,1775,0.9673,0.3572,0.1893,0.1563,0.0498
49,NASH w/o cirrhosis,ADH4,1775,16.3172,0.9651,0.9042,2.1741,0.7909
49,NASH w/o cirrhosis,AKR1D1,1775,3.2175,0.7476,0.5454,0.4329,0.164
49,NASH w/o cirrhosis,SLCO1B3,1775,20.5268,0.8648,0.7386,2.8928,0.5764
49,NASH w/o cirrhosis,ASS1,1775,1.3363,0.5938,0.3245,0.2138,0.0527
49,NASH w/o cirrhosis,CPS1,1775,17.0141,0.9724,0.9273,2.3338,0.843
49,NASH w/o cirrhosis,PCK1,1775,2.5082,0.591,0.3994,0.3698,0.1506
49,NASH w/o cirrhosis,ALDOB,1775,7.9392,0.9025,0.7837,1.0504,0.4892
49,NASH w/o cirrhosis,HAL,1775,0.7487,0.2451,0.1318,0.1066,0.0375
49,NASH w/o cirrhosis,ARG1,1775,3.0524,0.7735,0.573,0.4214,0.147
49,NASH w/o cirrhosis,ALB,1775,37.613,0.9994,0.9949,5.5564,0.9701
49,NASH w/o cirrhosis,ACTB,1775,0.1854,0.1527,0.0254,0.025,0.0023
49,NASH w/o cirrhosis,GAPDH,1775,0.2023,0.1538,0.0344,0.0258,0.0018
49,NASH w/o cirrhosis,stress_mod,1775,0.2777,0.2186,0.0451,0.0404,0.0047
50,NASH w/o cirrhosis,FOS,789,0.0089,0.0076,0.0013,0.0014,0.0
50,NASH w/o cirrhosis,JUN,789,0.0862,0.0646,0.0177,0.018,0.0041
50,NASH w/o cirrhosis,JUNB,789,0.0722,0.0532,0.0101,0.0085,0.0
50,NASH w/o cirrhosis,JUND,789,0.1825,0.1546,0.0228,0.0364,0.0082
50,NASH w/o cirrhosis,ATF3,789,0.0406,0.0355,0.0038,0.0061,0.0
50,NASH w/o cirrhosis,DUSP1,789,0.0545,0.0494,0.0051,0.0071,0.0
50,NASH w/o cirrhosis,HSPA1A,789,0.0355,0.033,0.0025,0.0068,0.0014
50,NASH w/o cirrhosis,HSPA1B,789,0.0215,0.0203,0.0013,0.0054,0.0027
50,NASH w/o cirrhosis,GLUL,789,0.4208,0.2218,0.0621,0.0619,0.0122
50,NASH w/o cirrhosis,CYP3A4,789,2.8454,0.4791,0.2826,0.3823,0.1415
50,NASH w/o cirrhosis,CYP2E1,789,17.0444,0.9582,0.8885,2.3643,0.7347
50,NASH w/o cirrhosis,CYP1A2,789,1.4233,0.4081,0.2421,0.2092,0.0748
50,NASH w/o cirrhosis,ADH4,789,17.0837,0.9379,0.8669,2.0065,0.7429
50,NASH w/o cirrhosis,AKR1D1,789,3.6261,0.7186,0.5475,0.4364,0.1701
50,NASH w/o cirrhosis,SLCO1B3,789,7.7947,0.5703,0.3916,0.965,0.2789
50,NASH w/o cirrhosis,ASS1,789,4.5374,0.8289,0.6489,0.6575,0.2463
50,NASH w/o cirrhosis,CPS1,789,12.4449,0.9328,0.834,1.4857,0.6354
50,NASH w/o cirrhosis,PCK1,789,5.5044,0.8175,0.6705,0.7571,0.3456
